 Planilha de contagem de ponto de funá∆o - Vers∆o 2.0;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Aplicaá∆o : SIGRH;;Projeto : SIGRH;;;;;;;;;;;;;;;;
Respons†vel : GABRIEL DAMASO DA SILVEIRA;;Revisor : TIAGO EMANOEL DE SOUZA;;;;;;;;;;;;;;;;
Empresa : INDRA - ALESC;R$/PF = 1286,29;; Custo= R$ 91.326,59;;;;;;PF  = 71;;Observaá‰es;;;C†lculo Pagamento;;;;
Funá∆o;;Tipo;(I/A/E);TD;AR/TR;ctl;C;Complex.;PF;PF Local;Data in°cio;Data Conclus∆o;Outras Observaá‰es;Dias;Dias Èteis;PFB;Dias Max;Glosa (PFB)
3059/2024;Manter Hist¢rico Folha de Pagamento;;;;;;;;;;11/07/2025;22/07/2025;;11;8;7;15;
;Gerar Folha de Pagamento Geral;SE;A;180;4;SEH;H;Alta;7;3,50;;;;0;0;;0;
;Gerar Folha de Pagamento Individual;SE;A;180;4;SEH;H;Alta;7;3,50;;;;0;0;;0;
;;;;;;;;;;;;;;;;;;
3165/2025;Manter Laudo Pericial;;;;;;;;;;22/05/2025;31/07/2025;;70;50;3;15;
;Manter Laudo Pericial - Integraá∆o;CE;A;10;4;CEH;H;Alta;6;3,00;;;;0;0;;0;
;;;;;;;;;;;;;;0;0;;0;
3293/2025;Manter Tipos de Atendimento ;;;;;;;;;;;;;0;0;;0;
;Manter Tipos Atendimento;EE;A;18;2;EEH;H;Alta;6;3,00;10/06/2025;17/06/2025;;7;5;3;15;
;;;;;;;;;;;;;;0;0;;0;
3299/2025;Manter Transformaá∆o de Cargo/Enquadramento;;;;;;;;;;11/06/2025;23/07/2025;;42;30;3;15;
;Alterar Historico;EE;A;28;3;EEH;H;Alta;6;3,00;;;;0;0;;0;
;;;;;;;;;;;;;;0;0;;0;
3308/2025;Processar dados para SCPrev;;;;;;;;;;03/07/2025;31/07/2025;;28;20;10.50;105;
;Incluir processo SCPrev/SCPrev MAIS;EE;A;12;1;EEL;L;Baixa;3;1,50;;;;0;0;;0;
;Gerar arquivo cadastral;CE;A;54;5;CEH;H;Alta;6;3,00;;;;0;0;;0;
;Gerar arquivo financeiro;CE;A;13;4;CEH;H;Alta;6;3,00;;;;0;0;;0;
;Gerar relat¢rio financeiro;CE;A;30;4;CEH;H;Alta;6;3,00;;;;0;0;;0;
;;;;;;;;;;;;;;0;0;;;
3310/2025;Processar dados para SCPrev;;;;;;;;;;03/07/2025;31/07/2025;;28;20;7;15;
;Gerar Relat¢rio Financeiro;SE;A;30;3;SEH;H;Alta;7;3,50;;;;0;0;;0;
;Processo SCPREV;ALI;A;32;1;ALIL;L;Baixa;7;3,50;;;;0;0;;0;
;;;;;;;;;;;;;;0;0;;0;
3315/2025;DESIGNAR SERVIDOR EM CARGO DE CHEFIA;;;;;;;;;;;;;0;0;;0;
;Incluir Designaá∆o e Dispensa para Servidor em Cargo de Chefia;EE;I;29;3;EEH;H;Alta;6;6,00;;;;0;0;;0;
;;;;;;;;;;;;;;0;0;;0;
