Project: SC    Server: flnserv045\DefaultCollection    Query: FUNC BACKLOG - Time    List type: Flat    ;;;;;;;;;;;
ID;Work Item Type;Title;State;Assigned To;TipoSolicitacao;Iteration Path;Description;Created Date;Effort;DataPrevistaEntrega;Closed Date
43182;SOLICITACAO SC;14166/2019 - SEA-SOLICITACOES DA GEMAF;CONCLUIDA;Igor Fernando Contreras Alarcon;CORRETIVA;\FUNC\Sprints 2020\Sprint 7;"Informaá‰es principais
Data da solicitaá∆o: 17/10/2019 00:00:00

N£mero: 14166/2019

Assunto: SEA-SOLICITACOES DA GEMAF

Cadastrador: DANIEL DE ANDRADE

M¢dulo/Sub-m¢dulo/Funcionalidade:  NAO INFORMADO  

Descriá∆o: 
ABAIXO ALGUMAS SOLICITAÄÂES DA GEMAF REFERENTES A PROBLEMAS ENCONTRADOS COM AS ROTINAS DA REFORMA. 

1) - CONSULTA AOS DADOS DE PUBLICAÄ«O DO FIM DA DISPOSIÄ«O. QUANDO A DISPOSIÄ«O ê FINALIZADA, S«O INCLU÷DOS OS DADOS DA PUBLICAÄ«O DO ATO QUE ENCERROU TAL MOVIMENTAÄ«O. PORêM ESTAS INFORMAÄÂES N«O FICAM VIS÷VEIS PARA CONSULTA POSTERIORMENTE CASO HAJA UMA NOVA MOVIMENTAÄ«O. ESSA INFORMAÄ«O ê CONSULTADA PELO MENU DE RODAPê FINALIZAR, NO ENTANTO ELE S‡ PODE SER ACESSADO SE FOR O ULTIMO REGISTRO.  

2) - MOVIMENTAÄ«O INTERNA TER A POSSIBILIDADE DE MOVIMENTAR O SERVIDOR COM A FUNÄ«O DE CHEFIA. EX. TER UM CAMPO CRITICANDO QUE O SERVIDOR POSSUI A FEC E SE QUER OU NAO MOVIMENTAR A FEC JUNTO COM O SERVIDOR; 

3) - NA MOVIMENTAÄ«O INTERNA COLETIVA, O SISTEMA EM ALGUNS CASOS N«O TROUXE TODAS AS PESSOAS QUE ESTAVAM LOTADAS NO SETOR PARA FAZER A MOVIMENTAÄ«O, DEIXANDO ALGUNS SERVIDORES PARA TRµS. QUANDO SE CONHECE QUEM S«O OS SERVIDORES DO SETOR, TUDO BEM, MAS QUANDO N«O SE CONHECE, N«O SE SENTE FALTA. &61664; VERIFICAR A CONSULTA. 

4) - CONSEGUIR CANCELAR A APRESENTAÄ«O EM UMA MOVIMENTAÄ«O EXTERNA MESMO AP‡S O FECHAMENTO DA FOLHA. SITUAÄ«O MUITO RECORRENTE QUE SEMPRE PRECISO DA AJUDA DA TATI. &61664; PARA GESTOR DA FUNCIONALIDADE. 

5) - DISPENSA DE FUNÄ«O DE CHEFIA COLETIVAMENTE O SISTEMA N«O TRAZIA TODAS AS PESSOAS QUE TINHAM AQUELA DETERMINADO FUNÄ«O DE CHEFIA. DISPENSAVA TODOS, FAZENDO COM QUE ACHASSEMOS QUE N«O TINHA MAIS NINGUêM COM AQUELA FUNÄ«O. PROBLEMA DE RELAT‡RIO... &61664; VERIFICAR A CONSULTA.

6) - MOVIMENTAÄ«O EXTERNA EM LOTE POSSIBILITAR FAZER A MOVIMENTAÄ«O EXTERNA TAMBêM EM LOTE. PODENDO ESCOLHER OS ‡RG«OS DO AGRUPAMENTO PARA MOVIMENTAÄ«O.


";10/06/2020 15:33;90;07/08/2020 00:00;30/09/2020 00:00
43201;SOLICITACAO ALESC;1451/2020 - CORRIGIR EXONERAR CARGO EM COMISSAO QUANDO HA USUFRUTO DE FERIAS;CONCLUIDA;Eneida de Farias Bastos;CORRETIVA;\FUNC\Sprints 2020\Sprint 7;"Informaá‰es principais
Data da solicitaá∆o: 14/05/2020 00:00:00

N£mero: 1451/2020

Assunto: CORRIGIR EXONERAR CARGO EM COMISSAO QUANDO HA USUFRUTO DE FERIAS

Cadastrador: LUIZ EDUARDO DE SOUZA

M¢dulo/Sub-m¢dulo/Funcionalidade:  NAO INFORMADO  

Descriá∆o: 
Corrigir funcionalidade de exoneraá∆o de cargo em  comiss∆o para que n∆o dà problemas com usufruto de fÇrias assim como aconteceu com o chamado 1450.

";10/06/2020 15:46;4;28/08/2020 00:00;28/08/2020 00:00
43514;SOLICITACAO SC;14888/2020 - SEA - ALTERACAO PARA JA CONSIDERADO DOS CURSOS MAIS RECENTES NA PROGRESSAO DA SES;CONCLUIDA;Eneida de Farias Bastos;CORRETIVA;\FUNC\Sprints 2020\Sprint 4;"Informaá‰es principais
Data da solicitaá∆o: 19/06/2020 00:00:00

N£mero: 14888/2020

Assunto: SEA - ALTERACAO PARA JA CONSIDERADO DOS CURSOS MAIS RECENTES NA PROGRESSAO DA SES

Cadastrador: TATIANE TOMASI ROCHA

M¢dulo/Sub-m¢dulo/Funcionalidade: DESENV FUNCIONAL\PROGRESSAO-PROMOCAO\03.MANTER PROGRESSAO FUNCIONAL

Descriá∆o: 
ENEIDA,
FAVOR VERIFICAR SE FOI ALTERADA A ORDENAÄ«O PARA UTILIZAÄ«O DOS EVENTOS.

---------------------------------------------------------------------

ASSUNTO EN ALTERAÄ«O PARA Jµ CONSIDERADO DOS CURSOS MAIS RECENTES
DE GEBEN - PROMOCAO   X
DATA 31/12/1969 210000
DESTINATµRIO TATIANE TOMASI ROCHA 
CC MARISTELA GARCIA ANDRADE , ""GEBEN-PROMOCAOSEA.SC.GOV.BR""  ...
PREZADA TATI,

BOA TARDE

ENCAMINHO A SOLICITAÄ«O DA GEPES/SES PARA ANµLISE.

FAVOR VERIFICAR.

ATENCIOSAMENTE.

SORAIA DARIO

GER“NCIA DE BENEF÷CIOS FUNCIONAIS - GEBEN
DIRETORIA DE GEST«O E DESENVOLVIMENTO DE PESSOAS - DGDP
SECRETARIA DE ESTADO DA ADMINISTRAÄ«O - SEA
FONE (48) 3665-1574 / 3665-1503
 

-----------MENSAGEM ORIGINAL-----------
DATA 18/06/20 1607
DE SERVICO DE PROGRESSO FUNCIONAL - DIRH 
PARA GEBEN-PROMOCAOSEA.SC.GOV.BR
ASSUNTO ALTERAÄ«O PARA Jµ CONSIDERADO DOS CURSOS MAIS RECENTES

         BOA TARDE,

         AO PROCESSAR A PROGRESS«O OBSERVEI QUE O SISTEMA ESTµ PEGANDO AS HORAS DOS CURSOS MAIS RECENTES E N«O DOS MAIS ANTIGOS COMO ACONTECIA ANTERIORMENTE. SERµ QUE PODEREMOS TER PROBLEMAS MAIS ADIANTE
EX. 0966722-9-01 SIMONI PAULINO FRANCISCO.

         ATT,

         CLEIDE GARCIA
         SERVIÄO DE PROGRESSO FUNCIONAL
         COORDENAÄ«O DE BENEF÷CIOS 
         GER“NCIA DE NORMATIZAÄ«O DE GEST«O DE PESSOAS
         SECRETARIA DE ESTADO DA SAÈDE
         3283.6019/99951.1691

";22/06/2020 10:03;10;30/06/2020 00:00;30/06/2020 00:00
43522;SOLICITACAO SC;14121/2019 - PGTC -  PROBLEMA POR PROMOCAO COM ANTIGUIDADE;CONCLUIDA;Eneida de Farias Bastos;CORRETIVA;\FUNC\Sprints 2020\Sprint 8;"Informaá‰es principais
Data da solicitaá∆o: 04/10/2019 00:00:00

N£mero: 14121/2019

Assunto: PGTC -  PROBLEMA POR PROMOCAO COM ANTIGUIDADE

Cadastrador: GISELE FAFFE PELLEGRINI

M¢dulo/Sub-m¢dulo/Funcionalidade:  NAO INFORMADO  

Descriá∆o: 

SEGUE O PEDIDO ENVIADO PELO CIASC


NA  PGTC CRIAMOS NO SIGRH, EM 2018, A PROMOÄ«O POR ANTIGUIDADE PARA O ‡RG«O, DEFINIMOS OS PAR∂METROS NO SIGRH, PORêM AO TENTAR PROCESSAR AS PROGRESSÂES DO M“S NA FUNCIONALIDADE MANTER PROGRESS«O FUNCIONAL, O PROCESSAMENTO ê INTERROMPIDO .DESDE AQUELA êPOCA, N«O CONSEGUIMOS AUTOMATIZAR A PROMOÄ«O POR ANTIGUIDADE, MAS COMO ERAM POUCOS SERVIDORES ACABAMOS FAZENDO MANUALMENTE.

PORêM, N«O ê MAIS POSS÷VEL FAZER ESSE ACOMPANHAMENTO MANUAL. 

BASICAMENTE, NOSSA PROMOÄ«O POR ANTIGUIDADE SE Dµ COM A MOVIMENTAÄ«O DO SERVIDOR DE UMA REFER“NCIA PARA A PR‡XIMA NO MESMO CARGO, A CADA 365 DIAS DE EFETIVO EXERC÷CIO. N«O S«O COMPUTADOS COMO DE EFETIVO EXERC÷CIO AS FALTAS INJUSTIFICADAS, LICENÄA PARA TRATAMENTO DE INTERESSES PARTICULARES E SUSPENS«O DISCIPLINAR.

OS SERVIDORES S‡ S«O PROMOVIDOS AP‡S O ESTµGIO PROBAT‡RIO, MAS O TEMPO DO ESTµGIO ê CONTABILIZADO NA CONCESS«O DA PRIMEIRA PROMOÄ«O.

PODERIAM VERIFICAR O CASO

";22/06/2020 12:41;12;15/12/2020 00:00;15/12/2020 00:00
43523;SOLICITACAO SC;14660/2020 - SEA - ADEQUACOES PARA AVALIACAO FUNCIONAL PC;CONCLUIDA;Eneida de Farias Bastos;EVOLUTIVA;\FUNC\Sprints 2020\Sprint 7;"Informaá‰es principais
Data da solicitaá∆o: 30/03/2020 00:00:00

N£mero: 14660/2020

Assunto: SEA - ADEQUACOES PARA AVALIACAO FUNCIONAL PC

Cadastrador: TATIANE TOMASI ROCHA

M¢dulo/Sub-m¢dulo/Funcionalidade:  NAO INFORMADO  

Descriá∆o: 
ENEIDA,

SEGUEM ALTERAÄÂES SOLICITADAS PELA PC SOBRE A AVALIAÄ«O FUNCIONAL.
MANTER QUESTOES DE AVALIACAO 
- ADICIONAR PAR∂METRO NA QUEST«O DE AVALIAÄ«O FUNCIONAL PARA INDICAR SE A QUEST«O EXIGE JUSTIFICATIVA E QUAL NOTA M÷NIMA E MµXIMA PARA TAL.
- ADICIONAR PAR∂METRO NA QUEST«O DE AVALIAÄ«O FUNCIONAL PARA INDICAR TIPO DE QUEST«O MêDIA DAS DEMAIS QUESTÂES.
MANTER FORMULARIOS DE AVALIACAO FUNCIONAL 
- ADICIONAR PAR∂METRO PARA INDICAR SE UTILIZA ""COEFICIENTE DE DESEMPENHO"" E NESTE CASO NECESSITA INFORMAR OS VALORES DO COEFICIENTE E PONTOS (RESULTADO FINAL).
- ADICIONAR PAR∂METRO PARA INDICAR SE UTILIZA SALDO DA AVALIAÄ«O ANTERIOR.
MANTER AVALIACOES FUNCIONAIS 
- ADICIONAR OPÄ«O ""SUPERIOR HIERµRQUICO"" NO CAMPO ""AVALIADORES"". PARA ESTA OPÄ«O DEVE CONTINUAR PERMITINDO ADICIONAR SERVIDORES ESPEC÷FICOS (N«O OBRIGAT‡RIO), POIS SERµ UTILIZADO EM CASOS DE ALTERAÄ«O DE AVALIADOR E RECURSOS SENDO REALIZADOS PELA COMISS«O DE PROGRESS«O.
OBS O SUPERIOR HIERµRQUICO SEGUIRµ A REGRA Jµ ESTABELECIDA PARA A LP DIGITAL.
REALIZAR AVALIACAO FUNCIONAL
- ADICIONAR CAMPO AVALIAÄ«O DA COMISS«O E QUANDO SELECIONADO EXIBIR O CAMPO NÈMERO DO PROCESSO/DOCUMENTO QUE AMPAROU O FATO (CAMPO TEXTO). ADICIONAR COMO FILTRO OPCIONAL NA TELA DE LISTAGEM, O AVALIAÄ«O DA COMISS«O. 
- ADICIONAR O COMPORTAMENTO CONFORME OS NOVOS PAR∂METROS MENCIONADOS NAS FUNCIONALIDADES ACIMA.
- NO CAMPO UNIDADE ORGANIZACIONAL TERµ QUE VALIDAR SE A MATR÷CULA N«O FOR DOS SERVIDORES ESPEC÷FICOS SE ê O RESPONSµVEL PELA MESMA.
- O CAMPO SALDO DA AVALIAÄ«O ANTERIOR DEVE SER PREENCHIDO CASO N«O TENHA PROGREDIDO NA PROGRESS«O ANTERIOR E SOMADO AO RESULTADO FINAL.
- OS CAMPOS ""AVALIAÄ«O JUSTIFICADA"" E ""ATRIBUTO N«O CONSIDERADO"" FORAM ADICIONADOS EM VIRTUDE DOS MILITARES ESTµ EXIBINDO NA PC. FAVOR AVALIAR PARA DEFINIRMOS A N«O EXIBIÄ«O DESTES CAMPOS.
PORTAL DO SERVIDOR/AVALIAÄ«O
ADICIONAR NA TELA DE DETALHAR, ACIMA DAS QUESTÂES A CARREIRA E NOME DO AVALIADOR.

OBS ANTES DE DESENVOLVER CONVERSAMOS PARA MELHOR ENTENDIMENTO.

-----------------------------------------------------------------
ASSUNTO EN EN SIGRH - FORMULµRIO DE AVALIAÄ«O SEMESTRAL PCSC
DE LUCIANA FERNANDES GWOSZDZ   X
DATA 31/12/1969 210000
DESTINATµRIO GEBEN - GERENCIA DE BENEFICIOS FUNCIONAIS , LUCIANA FERNANDES GWOSZDZ , MARISTELA GARCIA ANDRADE , TATIANE TOMASI ROCHA  ...
TATIANE,

CONFORME SOLICITADO SEGUE O E-MAIL ENCAMINHADO PELA PCSC SOBRE O FORMULµRIO DE AVALIAÄ«O SEMESTRAL.
 
ATENCIOSAMENTE.

LUCIANA FERNANDES GWOSZDZ
GER“NCIA DE BENEF÷CIOS FUNCIONAIS
(48) 3665-1714

 
-----------MENSAGEM ORIGINAL-----------
DATA 26/06/19 1703
DE LUCIANA FERNANDES GWOSZDZ 
PARA TATIANA GOMES BACK BEPPLER 
ASSUNTO EN SIGRH - FORMULµRIO DE AVALIAÄ«O SEMESTRAL PCSC

PREZADAS,

SEGUE O SOLICITADO EM REUNI«O NESTA DATA.

LUCIANA.

-----------MENSAGEM ORIGINAL-----------
DATA 10/06/19 1859
DE PROMOÄ«O PCSC 
PARA LUCIANA FERNANDES GWOSZDZ 
ASSUNTO SIGRH - FORMULµRIO DE AVALIAÄ«O SEMESTRAL PCSC
PREZADA LUCIANA,

CONFORME TRATATIVAS MANTIDAS PELA DELEGADA DE POL÷CIA ANA SILVIA SERRANO GHISI, GERENTE DE GEST«O DE PESSOAS DA POL÷CIA CIVIL, A FIM DE QUE AS AVALIAÄÂES SEMESTRAIS DOS POLICIAIS CIVIS PASSEM A SER REALIZADAS PELOS AVALIADORES COMPETENTES DIRETAMENTE NO SIGRH, ENCAMINHAMOS ANEXO FORMULµRIO DE AVALIAÄ«O SEMESTRAL UTILIZADO PELA PCSC ATUALMENTE EM SUA INTRANET, O QUAL ê CONSIDERADO PARA O PROCESSO PROMOCIONAL POR MERECIMENTO.

TRATA-SE DE UM FORMULµRIO COM 9 (NOVE) ITENS A SEREM AVALIADOS, ATENDENDO AO DISPOSTO NO ART. 59 DA LC 453/2009.
O GRAU DE AVALIAÄ«O DE CADA ITEM DEVE VARIAR DE 0 (ZERO) A 10 (DEZ) PONTOS, CONFORME  1ß, ART. 10, DO DECRETO 2.669/2009. CONTUDO, NA INTRANET/PC O AVALIADOR N«O DIGITA, MAS, SIM SELECIONA A NOTA DE CADA ITEM E AS OPÄÂES S«O APENAS OS NÈMEROS INTEIROS DE 01 (UM) A 10 (DEZ), OU SEJA, N«O Hµ A POSSIBILIDADE DO POLICIAL SER AVALIADO COM A NOTA 0 (ZERO) OU 8,5, POR EXEMPLO.
SE O AVALIADOR ATRIBUIR NOTA ""IGUAL OU INFERIOR A 4 (QUATRO)"" E/OU ""SUPERIOR A 8 (OITO)"" A AVALIAÄ«O DO ITEM EM QUEST«O DEVE SER JUSTIFICADA, CONFORME  2ß, ART. 10, DO DECRETO 2.669/2009.

ESCLARECEMOS QUE S«O 10 (DEZ) CRITêRIOS DE AVALIAÄ«O, 09 (NOVE) DELES TRATAM-SE DOS ITENS DO FORMULµRIO DE AVALIAÄ«O (CONFORME ART. 10, DO DECRETO 2.669/2009) E O DêCIMO CRITêRIO CORRESPONDE ∑ MêDIA ARITMêTICA DOS ITENS AVALIADOS NO FORMULµRIO (CONFORME ART. 11, DO DECRETO 2.669/2009).

ASSIM, PARA CHEGARMOS ∑ NOTA FINAL DA AVALIAÄ«O SEMESTRAL, S«O SOMADAS AS NOTAS DOS 9 (NOVE) ITENS DO FORMULµRIO ∑ MêDIA ARITMêTICA DESSES MESMOS 9 (NOVE) ITENS, OBTENDO O ""COEFICIENTE DE DESEMPENHO DO POLICIAL CIVIL"", CONFORME ART. 12, DO DECRETO 2.669/2009.

COEFICIENTE DE DESEMPENHO POLICIAL CIVIL = (SOMA DAS NOTAS DO 9 ITENS)  (MêDIA ARITMêTICA DOS 9 ITENS). 

ESSE COEFICIENTE ê ENQUADRADO EM UM DOS 4 (QUATRO) N÷VEIS POSS÷VEIS DE DESEMPENHO (CONFORME INCISOS I, II, III E IV, DO ART. 12, DO DECRETO 2.669/2009 E ART. 61, DA LC 453/2009), SENDO ATRIBU÷DO AO POLICIAL CIVIL 100 PONTOS (SE O COEFICIENTE FOR DE 81 A 100) OU 80 PONTOS (SE O COEFICIENTE FOR DE 61 A 80) OU 60 PONTOS (SE O COEFICIENTE FOR DE 41 A 60) OU 40 PONTOS (SE O COEFICIENTE FOR DE 21 A 40).

DE ACORDO COM O DECRETO 2.669/2009 E A LC 453/2009, A PRINC÷PIO, O POLICIAL PODERIA RECEBER NO M÷NIMO 40 (QUARENTA) PONTOS POR AVALIAÄ«O SEMESTRAL, CONTUDO, A INTRANET/PC ESTµ PROGRAMADA PARA ATRIBUIR AO POLICIAL EXATAMENTE A NOTA DO COEFICIENTE NO CASO DESTE SER IGUAL OU INFERIOR A 20 (VINTE). NESSE CASO, POR EXEMPLO, SENDO O POLICIAL AVALIADO COM 2 (DOIS) PONTOS EM CADA UM DOS 9 (NOVE) ITENS, O SOMAT‡RIO SERIA 18 (DEZOITO) PONTOS E A MêDIA ARITMêTICA 2 (DOIS) PONTOS, RESULTANDO EM UM COEFICIENTE DE 20 (VINTE) PONTOS, SENDO A NOTA FINAL DA AVALIAÄ«O SEMESTRAL DO POLICIAL 20 (VINTE) PONTOS.

PARA A OBTENÄ«O DO COEFICIENTE ê CONSIDERADO SOMENTE O NÈMERO INTEIRO E UMA CASA DECIMAL, UTILIZANDO-SE, PARA ISSO, A REGRA DE APROXIMAÄ«O DE VALORES NUMêRICOS DA MATEMµTICA (SENDO MAIOR OU IGUAL A 5, ACRESCE-SE MAIS UMA UNIDADE; SENDO MENOR QUE CINCO, MANTEM-SE INALTERADO O NÈMERO INTEIRO E SE DESPREZA O DECIMAL), CONFORME PARµGRAFO ÈNICO DO ART. 12, DO DECRETO 2.669/2009 E ART. 61, DA LC 453/2009.

AO FINAL DO PER÷ODO DE AVALIAÄ«O ê EMITIDO UM RELAT‡RIO GERAL DAS AVALIAÄÂES SEMESTRAIS DE TODOS OS POLICIAIS CIVIS, NO QUAL CONSTA O NOME, MATR÷CULA, CPF E CARGO DO SERVIDOR, BEM COMO A NOTA FINAL ATRIBU÷DA A ELE E O NOME DO AVALIADOR.
CASO O POLICIAL N«O SEJA AVALIADO NA INTRANET/PC (OU POR N«O TER CADASTRADO NA INTRANET O SEU AVALIADOR OU PELO FATO DO AVALIADOR N«O TER AVALIADO O POLICIAL), ê ATRIBU÷DO AO SERVIDOR 0 (ZERO) PONTOS PELA AVALIAÄ«O SEMESTRAL.

A NOTA FINAL DA AVALIAÄ«O SEMESTRAL ê INSERIDA INDIVIDUALMENTE NO SIGRH PELO SETOR DE GEST«O DE PESSOAS/PC, SENDO SOMADA ∑ NOTA Jµ EXISTENTE NO SIGRH CASO O POLICIAL N«O TENHA SIDO PROMOVIDO NO PROCESSO ANTERIOR, ATENDENDO ∑ REGRA DE CUMULAÄ«O DE PONTOS PREVISTA NO ART. 13, DO DECRETO 2.669/2009.

ATENCIOSAMENTE,

PAULA DOS SANTOS BARCELOS
AGENTE DE POL÷CIA
SECRETARIA DA COMISS«O PERMANENTE DE PROMOÄ«O DA POL÷CIA CIVIL (SIGLA SGP-E PCSC/SEGEP/CPPC)
DELEGACIA-GERAL DA POL÷CIA CIVIL
SETOR DE GEST«O DE PESSOAS/DGPC

";22/06/2020 12:41;95,5;30/06/2020 00:00;08/09/2020 00:00
43524;SOLICITACAO SC;14718/2020 - SEA - DESFAZER HOMOLOGACAO DA PROGRESSAO MAGISTERIO NA SED E FCEE;CONCLUIDA;Igor Fernando Contreras Alarcon;CORRETIVA;\FUNC\Sprints 2020\Sprint 10;"Informaá‰es principais
Data da solicitaá∆o: 14/04/2020 00:00:00

N£mero: 14718/2020

Assunto: SEA - DESFAZER HOMOLOGACAO DA PROGRESSAO MAGISTERIO NA SED E FCEE

Cadastrador: TATIANE TOMASI ROCHA

M¢dulo/Sub-m¢dulo/Funcionalidade: DESENV FUNCIONAL\PROGRESSAO-PROMOCAO\03.MANTER PROGRESSAO FUNCIONAL

Descriá∆o: 
ENEIDA,

FAVOR DESFAZER A HOMOLOGAÄ«O DAS PROGRESSÂES DE ABRIL DE 2020 DAS REGRAS DA CARREIRA MAGISTêRIO PUBLICO ESTADUAL NOS ‡RG«OS SED E FCEE.

--------------------------------------------------------------------------------------------------------------------------------

ASSUNTO EXCLUIR PROMOÄ«O DE MAGISTêRIO DA SED E FCEE DE ABRIL
DE GEBEN - GERENCIA DE BENEFICIOS FUNCIONAIS   X
DATA 31/12/1969 210000
DESTINATµRIO TATIANEROCHASEA.SC.GOV.BR ...
BOA TARDE TATIANE,
NECESSITAMOS  QUE SEJA  EXCLU÷DO A PROMOÄ«O DO QUADRO DO MAGISTêRIO DOS ‡RG«O SED - 2001 E  FCEE-  2003, DO M“S DE ABRIL DE 2020.

DESTACAMOS  QUE ESTE PEDIDO SEJA VIABILIZADO NO SIGRH  AMBIENTE DE PRODUÄ«O, PARA QUE POSSAMOS REPROCESSAR A FOLHA DE PAGAMENTO.

ATENCIOSAMENTE
MARISTELA GARCIA ANDRADE





LOGO	
GER“NCIA DE BENEF÷CIOS FUNCIONAIS (GEBEN)DIRETORIA DE GEST«O E DESENVOLVIMENTO DE PESSOAS (DGDP)
EQUIPE
MARISTELA GARCIA ANDRADE (48) 3665-1800 (GERENTE)
ALZIRA DE ANDRADE (48) 3665-1503
JANE SOUZA (48) 3665-1572
SIMONE BUTEMBERG (48) 3665-1572
EDUARDO FONTANELLA (48) 3665-1564
EMANUELA HOMMERDING (48) 3665-1573
GLADIS SAVI (48) 3665-1573
EUNICE SEEMAN (48) 3665-1996
PHYLLIS SCHEIDT (48) 3665-1996
GISELE FLORIANI (48) 3665-11717
LENITA DOS SANTOS (48) 3665-1584
LUCIANA GWOSZDZ (48) 3665-1714
RAUL WILPERT (48) 3665-1807
SORAIA GORINI (48) 3665-1574
LUCAS NUNES (48) 3665-1758
YURI TONNELLO (48) 3665-1582

GEBENSEA.SC.GOV.BR
WWW.PORTALDOSERVIDOR.SC.GOV.BR

";22/06/2020 12:41;40;14/08/2020 00:00;10/02/2023 11:22
43525;SOLICITACAO SC;14845/2020 - SEA - ERRO DE ALTERNANCIA NA PROGRESSAO PC;CONCLUIDA;Eneida de Farias Bastos;CORRETIVA;\FUNC\Sprints 2021\Sprint 15;"Informaá‰es principais
Data da solicitaá∆o: 29/05/2020 00:00:00

N£mero: 14845/2020

Assunto: SEA - ERRO DE ALTERNANCIA NA PROGRESSAO PC

Cadastrador: TATIANE TOMASI ROCHA

M¢dulo/Sub-m¢dulo/Funcionalidade: DESENV FUNCIONAL\PROGRESSAO-PROMOCAO\03.MANTER PROGRESSAO FUNCIONAL

Descriá∆o: 
ASSUNTO ALTERN∂NCIA REGRAS PCSC
DE LUCIANA FERNANDES GWOSZDZ   X
DATA 31/12/1969 210000
DESTINATµRIO ALZIRA ELISABET BITTENCOURT DE ANDRADE , TATIANE TOMASI ROCHA 
CC GEBEN - GERENCIA DE BENEFICIOS FUNCIONAIS , MARISTELA GARCIA ANDRADE  ...
TATIANE,

CONFORME CONVERSAMOS, SEGUE A IDENTIFICAÄ«O DA SITUAÄ«O DA ALTERN∂NCIA DAS REGRAS.

PARA O CARGO DE AGENTE DE POL÷CIA III - EM OUTUBRO/19 O ÈLTIMO COLOCADO FOI POR MERECIMENTO E NO PROCESSAMENTO PRELIMINAR DE ABRIL/20 O PRIMEIRO COLOCADO FOI POR MERECIMENTO TAMBêM.

PARA O CARGO DE AGENTE DE POL÷CIA IV -  EM OUTUBRO/19 O ÈLTIMO COLOCADO FOI POR MERECIMENTO E NO PROCESSAMENTO PRELIMINAR DE ABRIL/20 O PRIMEIRO COLOCADO FOI POR MERECIMENTO TAMBêM.

PODEMOS ATUALIZAR MANUALMENTE PARA AGILIZAR O PROCESSAMENTO FINAL QUE DEVERµ OCORRER NA PR‡XIMA SEGUNDA-FEIRA.

GRATA. 


LUCIANA FERNANDES GWOSZDZ
GER“NCIA DE BENEF÷CIOS FUNCIONAIS
(48) 3665-1714

";22/06/2020 12:41;14;31/07/2020 00:00;23/07/2021 21:57
43526;SOLICITACAO SC;14874/2020 - EXTRATOR - ERRO NO EXTRATOR DA PERICIA PARA ACIDENTES EM SERVICO;CONCLUIDA;Eneida de Farias Bastos;CORRETIVA;\FUNC;"Informaá‰es principais
Data da solicitaá∆o: 16/06/2020 00:00:00

N£mero: 14874/2020

Assunto: EXTRATOR - ERRO NO EXTRATOR DA PERICIA PARA ACIDENTES EM SERVICO

Cadastrador: GISELE FAFFE PELLEGRINI

M¢dulo/Sub-m¢dulo/Funcionalidade:  NAO INFORMADO  

Descriá∆o: 
ENEIDA,

O EXTRATOR GERADO COM OS DADOS DE ACIDENTE EM SERVIÄO N«O ESTµ SENDO ATUALIZADO CORRETAMENTE.
A PERICIA AFIRMA QUE SO TEM DADOS CORRETOS SOBRE ACIDENTES DE SERVIÄO ATê O MES DE JANEIRO, MAS O EXTRATOR ê ATUALIZADO MENSALMENTE.
OBRIGADA

";22/06/2020 12:42;13;19/06/2020 00:00;26/06/2020 00:00
43527;SOLICITACAO ALESC;1375/2020 - FINALIZAR SERVIDORES A DISPOSICAO;CONCLUIDA;Eneida de Farias Bastos;CORRETIVA;\FUNC\Sprints 2020\Sprint 5;"Informaá‰es principais
Data da solicitaá∆o: 04/02/2020 00:00:00

N£mero: 1375/2020

Assunto: FINALIZAR SERVIDORES A DISPOSICAO

Cadastrador: FERNANDA VIEIRA CAMILLI CASTANHO

M¢dulo/Sub-m¢dulo/Funcionalidade: MOVIMENTACAO\DISPOSICAO FORA DO AGRUPAMENTO\02.RECEBER SERVIDOR A DISPOSICAO

Descriá∆o: 
Favor finalizar o v°nculo servidor recebido  Ö disposiá∆o das matr°culas 8801 e 7588, a contar de 31 de janeiro de 2020.

";22/06/2020 12:42;15;10/07/2020 00:00;30/07/2020 00:00
43564;SOLICITACAO ALESC;1461/2020 - ADICIONAR FILTRO PESQUISA SERVIDOR DISPOSICAO;CONCLUIDA;Eneida de Farias Bastos;EVOLUTIVA;\FUNC\Sprints 2020\Sprint 4;"Informaá‰es principais
Data da solicitaá∆o: 05/06/2020 00:00:00

N£mero: 1461/2020

Assunto: ADICIONAR FILTRO PESQUISA SERVIDOR DISPOSICAO

Cadastrador: LUIZ EDUARDO DE SOUZA

M¢dulo/Sub-m¢dulo/Funcionalidade: MOVIMENTACAO\DISPOSICAO FORA DO AGRUPAMENTO\03. PESQUISAR SERVIDORES A DISPOSICAO POR CONVENIO

Descriá∆o: 
Adicionar filtro de pesquisa ""Por ‡rg∆o de Origem"" no formul†rio.
Ao selecionar essa opá∆o, dever† mostrar um drop down listando os convànios, e, selecionado o convànio, dever† mostrar outro com os ¢rg∆os de origem.
Ex. Seleciona esta opá∆o, Seleciona o Convànio ""EXECUTIVO 2019TN215"" e na pr¢xima caixa, podemos selecionar ""Secretaria de Seguranáa P£blica"" entre as opá‰es, depois listar.
O resultado poder† aparecer em listagem na pr¢pria tela.
Obs. Verificar a possibilidade de listar em tela e imprimir das outras opá‰es tambÇm.

";24/06/2020 10:55;58;30/06/2020 00:00;30/06/2020 00:00
